Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.908304889;51.13940856;292555;Schlosspark Garath;Bergahorn;140;Pilzbefall (Rußrindenkrankheit);32353673.75;5667408.06
6.908307805;51.13943578;292559;Schlosspark Garath;Bergahorn;80;Pilzbefall (Rußrindenkrankheit);32353674.04;5667411.08
6.856891286;51.19783763;296513;Kikweg/GA;Silberahorn;50;Morschung;32350266.81;5674008.35
6.764148698;51.22703637;297295;Kaiser-Wilhelm-Ring/GA 3;Weide;235;Pilzbefall;32343886.63;5677447.99
6.760995898;51.22544994;297314;Kaiser-Wilhelm-Ring/GA 5;Weide;90;Morschung;32343661.14;5677278.30
6.761338977;51.2484217;302226;Rheinpark 2;Schwarz-Pappel;290;Pilzbefall;32343762.95;5679831.80
6.814010824;51.2081988;307858;Im Liefeld 51;Robinie;78;Stammschäden;32347305.45;5675248.65
6.792470727;51.24490234;308160;Bülowstraße 25;Kirsche;180;Morschung & absterbend;32345923.65;5679374.71
6.789264909;51.24931134;310464;Spichernstraße 60;Tulpenbaum;25;abgestorben;32345714.68;5679871.68
6.758539797;51.25774753;310934;Mahnmalachse/GA;Schwarz-Pappel;220;Morschung;32343599.27;5680874.70
6.761613694;51.25826333;310961;Mahnmalachse/GA;Sandbirke;120;abgestorben;32343815.48;5680925.51
6.762581729;51.25967765;310965;Deikerstraße 3;Kirsche;135;Stammschäden;32343887.81;5681080.71
6.743952516;51.26631185;311116;Mörikestraße 20;Sandbirke;165;70% abgestorben;32342610.80;5681858.14
6.766538162;51.27076829;311159;Damaschkestraße/GW;Kirsche;200;Morschung;32344201.35;5682305.48
6.766800838;51.27046635;311160;Damaschkestraße/GW;Kirsche;135;Pilzbefall;32344218.65;5682271.35
6.766920816;51.270251;311162;Damaschkestraße/GW;Hartriegel;83;abgestorben;32344226.29;5682247.15
6.759588365;51.26417032;311167;Carl-Sonnenschein-Straße 24;Sandbirke;130;Morschung;32343694.22;5681586.62
6.759658314;51.26411149;311170;Carl-Sonnenschein-Straße 24;Sandbirke;210;Morschung;32343698.90;5681579.93
6.736819903;51.26798004;311253;Stadionweg Kleingärten;Kirsche;110;abgestorben;32342118.98;5682058.94
6.749001218;51.2594966;311327;Stockumer Kirchstraße 45;Spitzahorn;100;abgestorben;32342939.74;5681089.54
6.802923108;51.2023644;314801;In den Gärten/GA;Rosskastanie;201;Morschung;32346511.64;5674623.02
6.770854543;51.2214203;318838;Spee'scher Graben;Bergahorn;233;abgestorben;32344335.85;5676809.31
6.797127513;51.27909385;326915;GW Schwarzbachgraben/GA;Robinie;250;Stammschäden;32346362.71;5683166.74
6.74739273;51.25567044;327650;Nordpark;Schwarz-Pappel;400;Morschung;32342814.47;5680667.55
6.744322954;51.25809525;327871;Nordpark;Sandbirke;200;abgestorben;32342608.57;5680943.74
6.749459172;51.25915934;327953;Nordpark;Silber-Ahorn;145;Rußrindenkrankheit/abgestorben;32342970.54;5681051.06
6.750938695;51.25819606;328052;Nordpark/Kanalgarten;Robinie;165;Morschung;32343070.48;5680940.79
6.750883855;51.2581861;328084;Nordpark/Kanalgarten;Robinie;154;Morschung;32343066.62;5680939.80
6.750292739;51.25930757;328103;Nordpark/Tanzring;Silberahorn;220;Sturmschaden;32343029.20;5681065.76
6.749459206;51.25923785;328109;Nordpark/Tanzring;Bergahorn;145;Stammschäden;32342970.81;5681059.79
6.784263556;51.28377649;328511;E-Plus-Str./GA Heckengarten;Eberesche;40;abgestorben;32345481.34;5683714.41
6.784282708;51.28380168;328512;E-Plus-Str./GA Heckengarten;Eberesche;35;absterbend;32345482.76;5683717.17
6.7846986;51.2844364;328513;E-Plus-Str./GA Heckengarten;Eberesche;40;abgestorben;32345513.89;5683786.87
6.784722446;51.28446536;328514;E-Plus-Str./GA Heckengarten;Eberesche;35;abgestorben;32345515.65;5683790.04
6.784799424;51.28455549;328517;E-Plus-Str./GA Heckengarten;Eberesche;30;abgestorben;32345521.32;5683799.90
6.785208517;51.28491452;328518;E-Plus-Str./GA Heckengarten;Eberesche;40;abgestorben;32345551.05;5683838.96
6.785253486;51.28497545;328520;E-Plus-Str./GA Heckengarten;Eberesche;45;abgestorben;32345554.39;5683845.64
6.785279478;51.28500454;328521;E-Plus-Str./GA Heckengarten;Eberesche;35;abgestorben;32345556.30;5683848.82
6.804344259;51.24226869;329140;Zoopark;Schwarz-Birke;180;Pilzbefall;32346743.53;5679057.03
6.801232074;51.23549682;329143;Schillerplatz;rote Rosskastanie;270;Pilzbefall (Riesenporling);32346503.78;5678310.56
6.788844272;51.2339618;329172;Rochusmarkt;Esche;80;Pilzbefall;32345633.94;5678165.84
6.786302823;51.23204181;329175;Vagedes-Platz;Hainbuche;120;Pilzbefall (Brandkrustenpilz);32345450.10;5677957.70
6.776811151;51.23830861;329187;Kaiserswerther Straße/KSP;Bergahorn;230;Pilzbefall (Hallimasch);32344808.60;5678674.52
6.794250176;51.24622432;334175;Toulouser Allee;Platane;58;abgestorben;32346052.25;5679517.97
6.794898271;51.24424509;334190;Toulouser Allee;Platane;67;trocken;32346090.87;5679296.54
6.743045956;51.26780889;334544;Mörikestraße 32;Bergahorn;145;abgestorben;32342552.68;5682026.54
6.760648402;51.25756342;334588;Mahnmalachse/GA;Robinie;160;abgestorben;32343745.76;5680849.74
6.767843902;51.25126438;336525;Uerdinger Straße 63;Platane;25;abgestorben;32344226.49;5680134.06
6.779119832;51.24774122;338708;Saarbrücker Straße 15;Robinie;100;Morschung;32345001.46;5679718.46
6.800916594;51.23579461;340427;Schillerplatz;Sandbirke;200;Pilzbefall (Hallimasch);32346482.75;5678344.33
6.813585611;51.24309414;340428;Graf-Recke-Straße 96;Kirsche;70;Pilzbefall (Lackporling);32347391.24;5679129.57
6.777051326;51.23832829;340497;Kaiserswerther Straße/KSP;Spitzahorn;260;Pilzbefall (Hallimasch);32344825.43;5678676.20
6.774967225;51.23758807;340499;Klever Straße;Bergahorn;190;abgestorben;32344677.47;5678598.30
6.804276864;51.24234198;340507;Zoopark;Feldahorn;180;Stammschäden;32346739.07;5679065.32
6.804343798;51.24243479;340508;Zoopark;Robinie;150;Sturmschaden;32346744.05;5679075.50
6.802091196;51.24326541;340509;Zoopark;Rosskastanie;70;Pseudomonas;32346589.60;5679172.56
6.803998042;51.24322009;340510;Zoopark;Sandbirke;100;Pilzbefall (Hallimasch);32346722.53;5679163.54
6.823211828;51.26054234;340981;Boskampweg 1;Robinie;180;extremer Schrägstand;32348120.58;5681049.70
6.854590976;51.23583831;340982;Mansfeldstraße KSP;Robinie;402;starke Morschungen im Stammfußbereich/Zwieselriss;32350229.50;5678238.38
