longiude;latitude;baum_ID;strasse;deutsch;stammumfang;grund_der_faellung;rechtswert;hochwert
6.738987345418351;51.26870777139792;367941;Stockumer Höfe Böschung A44;Bergahorn;50;Rußrindenkrankheit;32342272.6574758;5682135.19781326
6.738022812006147;51.268784803696484;367944;Stockumer Höfe Böschung A44;Bergahorn;50;Rußrindenkrankheit;32342205.6434993;5682145.83564796
6.737328118940659;51.26874970326876;367945;Stockumer Höfe Böschung A44;Bergahorn;50;Rußrindenkrankheit;32342157.0672305;5682143.42613841
6.733799299509266;51.26890899994606;367947;Stockumer Höfe Böschung A44 Grünstreifen;Bergahorn;60;Rußrindenkrankheit;32341911.473004;5682168.73098768
6.733352457981548;51.26884612523508;367948;Stockumer Höfe an Böschung A44 Grünstreifen;Bergahorn;100;Rußrindenkrankheit;32341880.0893206;5682162.70221482
6.769450821387584;51.268446304437646;122679;An der Golzheimer Heide;Sandbirke;220;absterbend;32344396.66;5682041.12
6.769491319896431;51.268424142789485;122921;An der Golzheimer Heide;Sandbirke;240;absterbend;32344399.41;5682038.57
6.737737767947882;51.26967082766571;368349;Stadionweg Grünstreifen;Bergahorn;90;Rußrindenkrankheit;32342188.7972394;5682244.96547037
6.737579422604015;51.268839264604445;367878;Stadionweg Fußgängerbrücke;Bergahorn;70;Rußrindenkrankheit;32342174.9029917;5682152.84422138
6.737579422604015;51.268839264604445;367878;Stadionweg Fußgängerbrücke;Bergahorn;70;Rußrindenkrankheit;32342174.9029917;5682152.84422138
6.737579422604015;51.268839264604445;367878;Stadionweg Fußgängerbrücke;Bergahorn;70;Rußrindenkrankheit;32342174.9029917;5682152.84422138
6.737579422604015;51.268839264604445;367878;Stadionweg Fußgängerbrücke;Bergahorn;70;Rußrindenkrankheit;32342174.9029917;5682152.84422138
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
6.737660197555009;51.269548478649604;367939;Stadionweg Grünstreifen;Bergahorn;50;Rußrindenkrankheit;32342182.9674274;5682231.52820548
