Latitude;Longitude;Altitude;Geometry;Grund der Fällung;Baum_ID;Gattung;Art;Sorte;Deutsch;Straße;Hausnummer;Pflegebezirk;Politischer Bezirk;Stammumfang;X_Koord;Y_Koord
51.21261115;6.7825091;0;point;Stammschäden;45756;Robinia;pseudoacacia;Monophylla;Robinie;Corneliusstraße;81;3205;3;155;32345120.05;5675805.19
51.20591946;6.78063682;0;point;abgestorben;46314;Tilia;intermedia;;Winterlinde;Feuerbachstraße;2;3205;3;200;32344966.82;5675065.09
51.20589294;6.78054261;0;point;abgestorben;46315;Tilia;intermedia;;Winterlinde;Feuerbachstraße;2;3205;3;200;32344960.15;5675062.34
51.21217367;6.77216611;0;point;Morschungen am Stammfuß;46472;Robinia;pseudoacacia;Monophylla;Robinie;Florastraße;51;3205;3;175;32344396.25;5675778.4
51.21226397;6.7546219;0;point;abgestorben;46877;Robinia;pseudoacacia;Monophylla;Robinie;Gladbacher Straße;86;3205;3;145;32343171.31;5675825.74
51.2123707;6.75411039;0;point;abgestorben;46882;Robinia;pseudoacacia;Monophylla;Robinie;Gladbacher Straße;92;3205;3;130;32343135.95;5675838.7
51.2124313;6.75381418;0;point;abgestorben;46883;Robinia;pseudoacacia;Monophylla;Robinie;Gladbacher Straße;92;3205;3;140;32343115.47;5675846.07
51.20101079;6.77173757;0;point;Pilzbefall (Lackporling) ;47720;Sorbus;intermedia;;Mehlbeere;Karl-Schurz-Straße;6;3205;3;150;32344328.68;5674538.11
51.21266986;6.78715767;0;point;Morschungen;47969;Sorbus;intermedia;;Mehlbeere;Kirchfeldstraße;128;3205;3;70;32345444.89;5675801.93
51.21260439;6.78699629;0;point;Pilzbefall (Lackporling) ;47985;Sorbus;intermedia;;Mehlbeere;Kirchfeldstraße;126;3205;3;180;32345433.4;5675794.99
51.21148694;6.76990169;0;point;Pilzbefall (Lackporling) ;48195;Sorbus;intermedia;;Mehlbeere;Kronprinzenstraße;94;3205;3;95;32344235.79;5675706.84
51.2107783;6.78822661;0;point;Morschungen am Stammfuß;49016;Aesculus;hippocastanum; Baumannii;Rotblühende Kastanie;Ringelsweide;3;3205;3;210;32345513.21;5675589.36
51.21321928;6.77084967;0;point;Pilzbefall (Lackporling) ;49053;Sorbus;intermedia;;Mehlbeere;Sedanstraße;6;3205;3;55;32344307.84;5675897.45
51.21314223;6.77120936;0;point;Pilzbefall (Lackporling) ;49056;Sorbus;intermedia;;Mehlbeere;Sedanstraße;7a;3205;3;90;32344332.7;5675888.12
51.18500717;6.76481251;0;point;abgestorben;50154;Robinia;pseudoac.;Monophylla;Straßenakazie 'Monophylla';Volmarweg;3;3205;3;170;32343790.81;5672773.37
51.21358892;6.75805479;0;point;abgestorben;50638;Fraxinus;excelsior;;Hängeesche;Wupperstraße;28;3205;3;47;32343415.55;5675965.74
