Longitude;Latitude;Baum_ID;Strasse;Deutsch;Stammumfang;Grund_der_Faellung;Rechtswert;Hochwert
6.747470420578491;51.25657902990264;368441;Nordpark;Sandbirke;150;abgestorben;32342822.99;5680768.41
6.747315189560039;51.256866445000334;368442;Nordpark;Sandbirke;130;abgestorben;32342813.14;5680800.7
6.7466405728817165;51.25551781481313;327692;Nordpark;Zierapfel;55;abgestorben ;32342761.47;5680652.19
6.7475454550586;51.25534915978269;327663;Nordpark;Taubenbaum;25;abgestorben ;32342824.03;5680631.5
6.745268079820628;51.25436429610435;368444;Rotterdamer Straße  Nordpark ;Silberahorn;190;absterbend;32342661.77;5680526.87
6.744846552977567;51.254842007444836;341123;Nordpark;Europäische Lärche;105;abgestorben;32342633.99;5680580.89
6.755698685013209;51.25747398520221;368541;Kaiserswerther Straße gegenüber Gartenamt;Vogel-Kirsche;90;absterbend ;32343400.12;5680850.34
6.756208457605214;51.25743681506776;310892;MAHNMALACHSE, GA;Sandbirke;140;absterbend ;32343435.56;5680845.12
6.756482986120611;51.25768004949277;310904;MAHNMALACHSE, GA;Sandbirke;170;absterbend ;32343455.54;5680871.58
6.756779458412839;51.257702281717265;310912;Edith-Stein-Weg   Anlagenbaum;Sandbirke;370;Pilzbefall: Tramete;32343476.3;5680873.42
6.759831674873565;51.257953128407614;368544;Edith-Stein-Weg  Anlagenbaum;Sandbirke;200;absterbend ;32343690.1;5680894.81
6.760311966598244;51.258056575266664;368545;Edith-Stein-Weg  Anlagenbaum;Sandbirke;200;absterbend ;32343723.96;5680905.29
6.7563485619360755;51.258138753348014;368548;Edith-Stein-Weg  Anlagenbaum;Bergahorn;55;Rußrindenkrankheit;32343447.72;5680922.87
6.76128720311703;51.25765235946784;368549;Edith-Stein-Weg  Anlagenbaum;Traubenkirsche;130;abgestorben;32343790.63;5680858.27
6.748008281489809;51.26122153720714;311447;Stockumer Kirchstraße  Kleingarten ;Hainbuche;100;abgestorben;32342876.35;5681283.46
6.7462670710630945;51.2648872607546;368551;Beckbuschstraße  Grünstreifen;Bergahorn;40;abgestorben;32342767.39;5681694.78
6.745473720922356;51.2646477679689;358462;Beckbuschstraße  Gehölzbepflanzung;Bergahorn;120;absterbend ;32342711.23;5681669.85
